observation number,publication number,Title ,Authors,Data_extracted_by,Extraction_date,Continent, Country,year_of_experiment,Site,lat_decimals,long_decimals,eco_type,Annual_precip ,precipitation_levels,Annual_temp,Regional_climate ,climatic_region,SOM,Soil C %,Soil N%,Soil C:N ratio ,Soil pH,litterbags_size_cm2,Fauna_available, Top_mesh_size,Fauna_group,Bottom_mesh_size,Burial_location  ,Time_Days,Duration_period,spc_abbr, Litter_type,Drying_method,Oven_temp_C,Litter_size,sp_div_in_mixture,species_richness,propotions,Mixture_mass_ratio,n_expected,n_observed,Lit_Car,Lit_Nit,Lit_Pho,Lit_Lig,Lit_Car_Nit_ratio,Lit_Lig_Nit_ratio,expected_decay_k,observed_decay_k,initial_weight_g,Final_weight_g,m_expected,sd_expected,m_observed,sd_observed,obs_per_day,exp_per_day,sd_obsv_per_day,sd_exp_per_day
496,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,731,very  long," An,Ar,Bp,Qe,Qr",Deciduous,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,64.77,N/A,1.83,4.365,2.5,1.692976378,32.28094487,11.95596825,34.76087704,4.253147491,0.047552499,0.044159979,0.005818259,0.016355634
497,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,62,short,"Ar,Pb,Pr,Qa,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,65.77,N/A,1.83,4.365,2.5,2.286302002,8.547919933,10.28317797,22.52383347,1.963412058,0.363287637,0.137869676,0.031667936,0.165857709
498,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2033,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,124,short,"Ar,Pb,Pr,Qa,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,66.77,N/A,1.83,4.365,2.5,2.123940209,15.04239165,10.85050847,30.46063818,1.841863104,0.245650308,0.12130961,0.014853735,0.087504101
499,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,363,long,"Ar,Pb,Pr,Qa,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,67.77,N/A,1.83,4.365,2.5,2.096438496,16.14246016,10.17943585,31.69870738,4.113380181,0.087324263,0.044469587,0.011331626,0.028042523
500,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,731,very  long,"Ar,Pb,Pr,Qa,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,68.77,N/A,1.83,4.365,2.5,1.723956245,31.04175019,14.23106333,41.84087718,10.77342666,0.057237862,0.042464775,0.01473793,0.019467939
501,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,62,short,"Ar,Pb,Pr,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,69.77,N/A,1.83,4.365,2.5,2.303589938,7.856402475,9.845004404,15.050339,0.759992926,0.242747403,0.126716169,0.01225795,0.158790394
502,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,124,short,"Ar,Pb,Pr,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,70.77,N/A,1.83,4.365,2.5,2.133786116,14.64855536,10.71148496,18.73696808,3.169200321,0.151104581,0.118133511,0.025558067,0.086382943
503,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,363,long,"Ar,Pb,Pr,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,71.77,N/A,1.83,4.365,2.5,2.13056761,14.77729561,10.25958032,21.56501135,4.842657311,0.059407745,0.040708803,0.013340654,0.028263307
504,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,731,very  long,"Ar,Pb,Pr,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,72.77,N/A,1.83,4.365,2.5,1.782347251,28.70610996,13.80093902,33.30807255,7.891142537,0.045565079,0.039269644,0.010794997,0.018879534
505,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,62,short,"Ar,Pr,Ps,Qa,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,73.77,N/A,1.83,4.365,2.5,2.337193683,6.512252692,12.44443344,15.47296738,0.48887959,0.24956399,0.105036334,0.007885155,0.200716668
506,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,124,short,"Ar,Pr,Ps,Qa,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,74.77,N/A,1.83,4.365,2.5,2.139550982,14.4179607,11.49597745,23.29214381,1.735944204,0.187839869,0.116273877,0.01399955,0.092709496
507,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,363,long,"Ar,Pr,Ps,Qa,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,75.77,N/A,1.83,4.365,2.5,2.165439809,13.38240764,11.13507429,21.41570927,4.092653593,0.058996444,0.036866137,0.011274528,0.030675136
508,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,731,very  long,"Ar,Pr,Ps,Qa,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,75.77,N/A,1.83,4.365,2.5,1.732066042,30.71735834,16.77876561,23.58521169,11.07746827,0.032264311,0.04202101,0.015153855,0.022953168
509,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,62,short,"Ar,Pr,Qa,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,53.77,N/A,1.83,4.365,2.5,2.389257602,4.429695925,11.66092496,7.428348078,3.660880066,0.119812066,0.071446708,0.059046453,0.188079435
510,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,124,short,"Ar,Pr,Qa,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,54.77,N/A,1.83,4.365,2.5,2.145233579,14.19065684,11.40173689,20.02195528,5.420360914,0.161467381,0.114440781,0.043712588,0.091949491
511,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,363,long,"Ar,Pr,Qa,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,55.77,N/A,1.83,4.365,2.5,2.177355445,12.90578221,10.332389,16.47680148,6.192875261,0.045390638,0.035553119,0.017060262,0.028463882
512,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,731,very  long,"Ar,Pr,Qa,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,56.77,N/A,1.83,4.365,2.5,1.849060589,26.03757645,13.7305171,33.54101393,9.986863923,0.04588374,0.03561912,0.013661921,0.018783197
513,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,62,short,"Ar,Jv,Pr,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,57.77,N/A,1.83,4.365,2.5,2.252476559,9.900937654,9.961182847,18.23685284,3.592857772,0.294142788,0.159692543,0.057949319,0.160664239
514,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,124,short,"Ar,Jv,Pr,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,58.77,N/A,1.83,4.365,2.5,2.033754575,18.64981701,11.14737918,28.03336921,3.677944528,0.226075558,0.15040175,0.029660843,0.089898219
515,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,363,long,"Ar,Jv,Pr,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,59.77,N/A,1.83,4.365,2.5,2.09001326,16.39946959,13.03857132,25.21352331,4.816184796,0.069458742,0.045177602,0.013267727,0.035918929
516,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,731,very  long,"Ar,Jv,Pr,Qe,Qm",Deciduous and evergreen ,Air dried,N/A,Whole leaf,5,five,equal,1:1:1:1:1,3,3,53.66,1.29,0.2,N/A,60.77,N/A,1.83,4.365,2.5,1.694888503,32.2044599,13.99775132,39.61100775,6.538686078,0.054187425,0.044055349,0.008944851,0.019148771
517,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,62,short,"An,Ar,Bp,Jv,Pb,Pr,Ps,Qa,Qe,Qm,Qr,Ta",Deciduous and evergreen ,Air dried,N/A,Whole leaf,12,twelve,equal,Equal,6,6,52.44,1.05,0.18,N/A,67.43,N/A,2.21,2.858,2.5,2.295250947,8.189962124,10.73247494,5.681866561,4.89,0.091643009,0.132096163,0.078870968,0.173104435
518,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,124,short,"An,Ar,Bp,Jv,Pb,Pr,Ps,Qa,Qe,Qm,Qr,Ta",Deciduous and evergreen ,Air dried,N/A,Whole leaf,12,twelve,equal,Equal,6,6,52.44,1.05,0.18,N/A,67.43,N/A,2.21,2.858,2.5,2.033240624,18.67037503,11.65060793,19.98784706,10.34,0.161192315,0.150567541,0.083387097,0.093956516
519,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,363,long,"An,Ar,Bp,Jv,Pb,Pr,Ps,Qa,Qe,Qm,Qr,Ta",Deciduous and evergreen ,Air dried,N/A,Whole leaf,12,twelve,equal,Equal,6,6,52.44,1.05,0.18,N/A,67.43,N/A,2.21,2.858,2.5,2.002534809,19.89860765,14.87321415,16.06429299,3.89,0.044254251,0.054817101,0.010716253,0.040973042
520,33,Functional diversity of leaf litter mixtures slows decomposition of labile but not recalcitrant carbon over two years,Grossman  et al 2020,Denis Mburu Njoroge,23/06/2020,North America,USA,2015,Minnesota,45.25,-93.1,Forest,757,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,400,absent,1,mesofauna,N/A,Surface ,731,very  long,"An,Ar,Bp,Jv,Pb,Pr,Ps,Qa,Qe,Qm,Qr,Ta",Deciduous and evergreen ,Air dried,N/A,Whole leaf,12,twelve,equal,Equal,6,6,52.44,1.05,0.18,N/A,67.43,N/A,2.21,2.858,2.5,1.650575314,33.97698745,15.65228436,21.75535279,9.11,0.029761085,0.046480147,0.01246238,0.021412154
521,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure small islands with shrubs removal,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Vm,Eh,Vv",shrubs,Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.863,0.0903,N/A,N/A,N/A,N/A,N/A,1.2,0.66,39.86,3.16,44.6,3.16,0.122191781,0.109205479,0.008657534,0.008657534
522,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure small islands with shrubs removal,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Vm,Ps,Pa",shrub and evergreen,Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.881,0.098,N/A,N/A,N/A,N/A,N/A,1.2,0.71,41.23,3.16,41.083,3.16,0.112556164,0.112958904,0.008657534,0.008657534
523,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure small islands with shrubs removal,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Bp,Ps,Pa","shrub, evergreen and Deciduous",Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.882,0.101,N/A,N/A,N/A,N/A,N/A,1.2,0.75,38.96,3.16,37.31,3.16,0.102219178,0.106739726,0.008657534,0.008657534
524,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure small islands with shrubs removal,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Vm, Eh,Vv,Bp,Ps,Pa","shrub, evergreen and Deciduous",Air dried,N/A,Whole leaf,6,six,equal,1:1:1:1:1:1,10,10,N/A,0.873,0.094,N/A,N/A,N/A,N/A,N/A,1.2,0.7,39.41,3.16,41.702,3.16,0.114252055,0.107972603,0.008657534,0.008657534
525,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure small islands with shrubs ,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Vm,Eh,Vv",shrubs,Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.863,0.0903,N/A,N/A,N/A,N/A,N/A,1.2,0.67,39.26,3.16,44.214,3.16,0.121134247,0.107561644,0.008657534,0.008657534
526,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure small islands with shrubs ,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Vm,Ps,Pa",shrub and evergreen,Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.881,0.098,N/A,N/A,N/A,N/A,N/A,1.2,0.72,40.76,3.16,39.781,3.16,0.108989041,0.111671233,0.008657534,0.008657534
527,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure small islands with shrubs ,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Bp,Ps,Pa","shrub, evergreen and Deciduous",Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.882,0.101,N/A,N/A,N/A,N/A,N/A,1.2,0.74,36.65,3.16,38.374,3.16,0.105134247,0.100410959,0.008657534,0.008657534
528,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure small islands with shrubs ,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Vm, Eh,Vv,Bp,Ps,Pa","shrub, evergreen and Deciduous",Air dried,N/A,Whole leaf,6,six,equal,1:1:1:1:1:1,10,10,N/A,0.873,0.094,N/A,N/A,N/A,N/A,N/A,1.2,0.7,37.96,3.16,41.702,3.16,0.114252055,0.104,0.008657534,0.008657534
529,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure medium-size islandss with shrubs removal,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Vm,Eh,Vv",shrubs,Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.863,0.0903,N/A,N/A,N/A,N/A,N/A,1.2,0.68,38.84,3.16,43.341,3.16,0.118742466,0.106410959,0.008657534,0.008657534
530,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure medium-size islandss with shrubs removal,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Vm,Ps,Pa",shrub and evergreen,Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.881,0.098,N/A,N/A,N/A,N/A,N/A,1.2,0.71,40.95,3.16,41.022,3.16,0.112389041,0.112191781,0.008657534,0.008657534
531,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure medium-size islandss with shrubs removal,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Bp,Ps,Pa","shrub, evergreen and Deciduous",Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.882,0.101,N/A,N/A,N/A,N/A,N/A,1.2,0.73,37.686,3.16,38.832,3.16,0.106389041,0.103249315,0.008657534,0.008657534
532,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure medium-size islandss with shrubs removal,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Vm, Eh,Vv,Bp,Ps,Pa","shrub, evergreen and Deciduous",Air dried,N/A,Whole leaf,6,six,equal,1:1:1:1:1:1,10,10,N/A,0.873,0.094,N/A,N/A,N/A,N/A,N/A,1.2,0.72,38.26,3.16,40.184,3.16,0.110093151,0.104821918,0.008657534,0.008657534
533,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure medium-size islands with shrubs ,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Vm,Eh,Vv",shrubs,Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.863,0.0903,N/A,N/A,N/A,N/A,N/A,1.2,0.7,38.2,3.16,41.519,3.16,0.113750685,0.104657534,0.008657534,0.008657534
534,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure medium-size islands with shrubs ,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Vm,Ps,Pa",shrub and evergreen,Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.881,0.098,N/A,N/A,N/A,N/A,N/A,1.2,0.74,40.48,3.16,38.413,3.16,0.105241096,0.11090411,0.008657534,0.008657534
535,34,Context dependency of litter-mixing effects on decomposition and nutrient release across a long-term chronosequence,Micael Jonsson and David A. Wardle 2008,Denis Mburu Njoroge,24/06/2020,Europe,Sweden,2006,Hornavan and Uddjaure medium-size islands with shrubs ,66.09,17.55,Forest,572,low,N/A,N/A,Temperate,N/A,N/A,N/A,N/A,N/A,69.225,absent,1,mesofauna,N/A,Surface ,365,long,"Bp,Ps,Pa","shrub, evergreen and Deciduous",Air dried,N/A,Whole leaf,3,three,equal,01:01:01,10,10,N/A,0.882,0.101,N/A,N/A,N/A,N/A,N/A,1.2,0.77,37.7,3.16,35.7,3.16,0.097808219,0.103287671,0.008657534,0.008657534
